2026-09-05T00:09:07Z m=[1,2000001) HUNT_DONE examined=5495 best=2 best_m=870805 seconds=44.51 per_m_ms=8.100 | HUNT_HIST 0:5415 1:79 2:1 3:0 4:0 5:0 6:0 | 84s
2026-09-05T00:10:34Z m=[2000001,4000001) HUNT_DONE examined=5686 best=2 best_m=3797329 seconds=47.05 per_m_ms=8.275 | HUNT_HIST 0:5585 1:100 2:1 3:0 4:0 5:0 6:0 | 87s
2026-09-05T00:12:00Z m=[4000001,6000001) HUNT_DONE examined=5679 best=2 best_m=4325409 seconds=47.06 per_m_ms=8.286 | HUNT_HIST 0:5568 1:106 2:5 3:0 4:0 5:0 6:0 | 86s
2026-09-05T00:13:26Z m=[6000001,8000001) HUNT_DONE examined=5688 best=2 best_m=6944817 seconds=47.18 per_m_ms=8.294 | HUNT_HIST 0:5585 1:101 2:2 3:0 4:0 5:0 6:0 | 86s
2026-09-05T00:14:53Z m=[8000001,10000001) HUNT_DONE examined=5660 best=1 best_m=8047309 seconds=46.65 per_m_ms=8.243 | HUNT_HIST 0:5553 1:107 2:0 3:0 4:0 5:0 6:0 | 87s
2026-09-05T00:16:19Z m=[10000001,12000001) HUNT_DONE examined=5728 best=1 best_m=10025486 seconds=47.15 per_m_ms=8.232 | HUNT_HIST 0:5621 1:107 2:0 3:0 4:0 5:0 6:0 | 86s
2026-09-05T00:17:44Z m=[12000001,14000001) HUNT_DONE examined=5572 best=2 best_m=13036476 seconds=45.55 per_m_ms=8.174 | HUNT_HIST 0:5474 1:96 2:2 3:0 4:0 5:0 6:0 | 85s
2026-09-05T00:19:10Z m=[14000001,16000001) HUNT_DONE examined=5573 best=2 best_m=14647677 seconds=45.79 per_m_ms=8.217 | HUNT_HIST 0:5478 1:93 2:2 3:0 4:0 5:0 6:0 | 86s
2026-09-05T00:20:35Z m=[16000001,18000001) HUNT_DONE examined=5591 best=2 best_m=17069884 seconds=45.88 per_m_ms=8.206 | HUNT_HIST 0:5488 1:99 2:4 3:0 4:0 5:0 6:0 | 85s
2026-09-05T00:22:00Z m=[18000001,20000001) HUNT_DONE examined=5654 best=2 best_m=18679734 seconds=46.13 per_m_ms=8.159 | HUNT_HIST 0:5566 1:86 2:2 3:0 4:0 5:0 6:0 | 85s
2026-09-05T00:23:26Z m=[20000001,22000001) HUNT_DONE examined=5666 best=2 best_m=20569932 seconds=45.97 per_m_ms=8.113 | HUNT_HIST 0:5580 1:84 2:2 3:0 4:0 5:0 6:0 | 86s
2026-09-05T00:24:51Z m=[22000001,24000001) HUNT_DONE examined=5679 best=2 best_m=23756210 seconds=46.38 per_m_ms=8.168 | HUNT_HIST 0:5589 1:89 2:1 3:0 4:0 5:0 6:0 | 85s
2026-09-05T00:26:18Z m=[24000001,26000001) HUNT_DONE examined=5729 best=3 best_m=25689089 seconds=47.81 per_m_ms=8.346 | HUNT_HIST 0:5646 1:79 2:3 3:1 4:0 5:0 6:0 | 87s
2026-09-05T00:27:44Z m=[26000001,28000001) HUNT_DONE examined=5649 best=2 best_m=26499699 seconds=46.35 per_m_ms=8.205 | HUNT_HIST 0:5554 1:93 2:2 3:0 4:0 5:0 6:0 | 86s
2026-09-05T00:29:11Z m=[28000001,30000001) HUNT_DONE examined=5672 best=2 best_m=28476802 seconds=47.06 per_m_ms=8.297 | HUNT_HIST 0:5568 1:102 2:2 3:0 4:0 5:0 6:0 | 87s
2026-09-05T00:30:35Z m=[30000001,32000001) HUNT_DONE examined=5576 best=2 best_m=30813651 seconds=45.48 per_m_ms=8.157 | HUNT_HIST 0:5468 1:106 2:2 3:0 4:0 5:0 6:0 | 84s
2026-09-05T00:31:59Z m=[32000001,34000001) HUNT_DONE examined=5656 best=1 best_m=32003463 seconds=45.88 per_m_ms=8.112 | HUNT_HIST 0:5560 1:96 2:0 3:0 4:0 5:0 6:0 | 84s
2026-09-05T00:33:23Z m=[34000001,36000001) HUNT_DONE examined=5627 best=1 best_m=34013437 seconds=45.66 per_m_ms=8.114 | HUNT_HIST 0:5544 1:83 2:0 3:0 4:0 5:0 6:0 | 84s
2026-09-05T00:34:47Z m=[36000001,38000001) HUNT_DONE examined=5651 best=2 best_m=36449874 seconds=45.75 per_m_ms=8.096 | HUNT_HIST 0:5570 1:80 2:1 3:0 4:0 5:0 6:0 | 84s
2026-09-05T00:36:11Z m=[38000001,40000001) HUNT_DONE examined=5562 best=2 best_m=38541516 seconds=44.75 per_m_ms=8.045 | HUNT_HIST 0:5473 1:87 2:2 3:0 4:0 5:0 6:0 | 84s
2026-09-05T00:37:45Z m=[40000001,42000001) HUNT_DONE examined=5686 best=2 best_m=40494056 seconds=50.72 per_m_ms=8.919 | HUNT_HIST 0:5592 1:92 2:2 3:0 4:0 5:0 6:0 | 94s
2026-09-05T00:39:08Z m=[42000001,44000001) HUNT_DONE examined=5595 best=1 best_m=42046220 seconds=44.68 per_m_ms=7.985 | HUNT_HIST 0:5510 1:85 2:0 3:0 4:0 5:0 6:0 | 83s
2026-09-05T00:40:30Z m=[44000001,46000001) HUNT_DONE examined=5579 best=2 best_m=44920092 seconds=44.20 per_m_ms=7.923 | HUNT_HIST 0:5506 1:72 2:1 3:0 4:0 5:0 6:0 | 82s
2026-09-05T00:41:53Z m=[46000001,48000001) HUNT_DONE examined=5721 best=2 best_m=46825638 seconds=45.32 per_m_ms=7.921 | HUNT_HIST 0:5622 1:94 2:5 3:0 4:0 5:0 6:0 | 83s
2026-09-05T00:43:15Z m=[48000001,50000001) HUNT_DONE examined=5630 best=2 best_m=49244067 seconds=43.98 per_m_ms=7.812 | HUNT_HIST 0:5542 1:86 2:2 3:0 4:0 5:0 6:0 | 82s
2026-09-05T00:44:36Z m=[50000001,52000001) HUNT_DONE examined=5676 best=1 best_m=50061204 seconds=43.92 per_m_ms=7.739 | HUNT_HIST 0:5592 1:84 2:0 3:0 4:0 5:0 6:0 | 81s
2026-09-05T00:45:58Z m=[52000001,54000001) HUNT_DONE examined=5654 best=2 best_m=52221006 seconds=44.43 per_m_ms=7.859 | HUNT_HIST 0:5547 1:104 2:3 3:0 4:0 5:0 6:0 | 82s
2026-09-05T00:47:19Z m=[54000001,56000001) HUNT_DONE examined=5501 best=2 best_m=54396241 seconds=43.93 per_m_ms=7.986 | HUNT_HIST 0:5409 1:90 2:2 3:0 4:0 5:0 6:0 | 81s
2026-09-05T00:48:41Z m=[56000001,58000001) HUNT_DONE examined=5641 best=2 best_m=56180915 seconds=44.62 per_m_ms=7.909 | HUNT_HIST 0:5565 1:73 2:3 3:0 4:0 5:0 6:0 | 82s
2026-09-05T00:50:03Z m=[58000001,60000001) HUNT_DONE examined=5483 best=2 best_m=58079017 seconds=44.02 per_m_ms=8.028 | HUNT_HIST 0:5398 1:84 2:1 3:0 4:0 5:0 6:0 | 82s
2026-09-05T00:51:33Z m=[60000001,62000001) HUNT_DONE examined=5619 best=1 best_m=60049856 seconds=49.44 per_m_ms=8.800 | HUNT_HIST 0:5540 1:79 2:0 3:0 4:0 5:0 6:0 | 90s
2026-09-05T00:52:54Z m=[62000001,64000001) HUNT_DONE examined=5556 best=1 best_m=62003776 seconds=43.26 per_m_ms=7.786 | HUNT_HIST 0:5473 1:83 2:0 3:0 4:0 5:0 6:0 | 81s
2026-09-05T00:54:16Z m=[64000001,66000001) HUNT_DONE examined=5706 best=2 best_m=64194554 seconds=44.89 per_m_ms=7.867 | HUNT_HIST 0:5609 1:91 2:6 3:0 4:0 5:0 6:0 | 82s
2026-09-05T00:55:37Z m=[66000001,68000001) HUNT_DONE examined=5633 best=1 best_m=66029467 seconds=43.79 per_m_ms=7.774 | HUNT_HIST 0:5541 1:92 2:0 3:0 4:0 5:0 6:0 | 81s
2026-09-05T00:56:58Z m=[68000001,70000001) HUNT_DONE examined=5589 best=2 best_m=69481931 seconds=43.08 per_m_ms=7.709 | HUNT_HIST 0:5516 1:71 2:2 3:0 4:0 5:0 6:0 | 81s
2026-09-05T00:58:18Z m=[70000001,72000001) HUNT_DONE examined=5583 best=2 best_m=70754680 seconds=43.67 per_m_ms=7.822 | HUNT_HIST 0:5485 1:97 2:1 3:0 4:0 5:0 6:0 | 80s
2026-09-05T00:59:40Z m=[72000001,74000001) HUNT_DONE examined=5715 best=2 best_m=72346045 seconds=44.53 per_m_ms=7.791 | HUNT_HIST 0:5624 1:88 2:3 3:0 4:0 5:0 6:0 | 82s
2026-09-05T01:01:00Z m=[74000001,76000001) HUNT_DONE examined=5528 best=2 best_m=74801931 seconds=42.91 per_m_ms=7.763 | HUNT_HIST 0:5447 1:78 2:3 3:0 4:0 5:0 6:0 | 80s
2026-09-05T01:02:20Z m=[76000001,78000001) HUNT_DONE examined=5554 best=2 best_m=76299480 seconds=42.79 per_m_ms=7.705 | HUNT_HIST 0:5481 1:72 2:1 3:0 4:0 5:0 6:0 | 80s
2026-09-05T01:03:41Z m=[78000001,80000001) HUNT_DONE examined=5630 best=1 best_m=78015430 seconds=43.64 per_m_ms=7.751 | HUNT_HIST 0:5542 1:88 2:0 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:05:01Z m=[80000001,82000001) HUNT_DONE examined=5503 best=2 best_m=80301565 seconds=42.52 per_m_ms=7.727 | HUNT_HIST 0:5424 1:76 2:3 3:0 4:0 5:0 6:0 | 80s
2026-09-05T01:06:21Z m=[82000001,84000001) HUNT_DONE examined=5568 best=2 best_m=83561698 seconds=43.54 per_m_ms=7.820 | HUNT_HIST 0:5465 1:102 2:1 3:0 4:0 5:0 6:0 | 80s
